Location;/homec/gsp15/gsp1514/pfasst-analysis/para-vs-intel/trace_4_intel/trace/traces.otf2;
Number of Processes;4;
ClkPeriod/sec;1000000000
StartTime[Clk];0
StopTime[Clk];3145281843
Type;Function Summary;

Function;Function Group;Calls;excTime[Clk];incTime[Clk];excAvg[Clk];incAvg[Clk];
MPI_Comm_get_name;MPI;4;22311;22311;5577.75;5577.75;
MPI_Comm_rank;MPI;128;39004;39004;304.71875;304.71875;
MPI_Comm_size;MPI;4;6164;6164;1541;1541;
MPI_Init;MPI;4;31303966;31303966;7825991.5;7825991.5;
MPI_Initialized;MPI;124;158823;158823;1280.83064516129;1280.83064516129;
MPI_Iprobe;MPI;9;69648;69648;7738.66666666667;7738.66666666667;
MPI_Isend;MPI;21;387624;387624;18458.2857142857;18458.2857142857;
MPI_Recv;MPI;35;3355394106.35259;3355394106.35259;95868403.0386455;95868403.0386455;
MPI_Send;MPI;16;888186513.176296;888186513.176296;55511657.0735185;55511657.0735185;
MPI_Type_commit;MPI;4;17643;17643;4410.75;4410.75;
MPI_Type_create_struct;MPI;4;13237;13237;3309.25;3309.25;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::TwoLevelPfasst;Application;4;122861;22948245;30715.25;5737061.25;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::TwoLevelMLSDC;Application;8;664991;28593880;83123.875;3574235;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::init_loggers;Application;4;13597615;13636412;3399403.75;3409103;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::init_loggers;Application;4;8495705;8523981;2123926.25;2130995.25;
pfasst::comm::MpiP2P::MpiP2P;Application;4;4692874;4748750;1173218.5;1187187.5;
pfasst::comm::Communicator::Communicator;Application;8;15619;25367;1952.375;3170.875;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::get_coarse;Application;212;201255;201255;949.316037735849;949.316037735849;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::get_fine;Application;192;187346;187346;975.760416666667;975.760416666667;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::set_options;Application;4;8504;414821;2126;103705.25;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::set_options;Application;4;401523;406317;100380.75;101579.25;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::setup;Application;4;206211;27302577;51552.75;6825644.25;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::setup;Application;4;27074514;27091546;6768628.5;6772886.5;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::get_num_levels;Application;8;9969;9969;1246.125;1246.125;
pfasst::comm::MpiP2P::get_size;Application;67;21620;21620;322.686567164179;322.686567164179;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::run;Application;4;4437005;12408930684.7052;1109251.25;3102232671.1763;
pfasst::comm::MpiP2P::get_rank;Application;209;51147;51147;244.722488038278;244.722488038278;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::predictor;Application;4;388209926;1399054114;97052481.5;349763528.5;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::predict_coarse;coarse;4;59877317;59890927;14969329.25;14972731.75;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::send_coarse;Application;23;137446;888603625.176296;5975.91304347826;38634940.2250564;
pfasst::comm::MpiP2P::is_last;Application;51;35999;65665;705.862745098039;1287.54901960784;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::compute_tag;Application;81;476643;476643;5884.48148148148;5884.48148148148;
pfasst::comm::MpiP2P::send;Application;16;60976;888247489.176296;3811;55515468.0735185;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::sweep_fine;fine;16;2568875620.1763;2568961569.1763;160554726.261019;160560098.073519;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::send_fine;Application;15;73401;566799;4893.4;37786.6;
pfasst::comm::MpiP2P::isend;Application;11;174869;418543;15897.1818181818;38049.3636363636;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::advance_iteration;Application;15;1736866263;3342679604.35259;115791084.2;222845306.95684;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::get_check_prev_status;Application;15;517189;1605433419.35259;34479.2666666667;107028894.623506;
pfasst::comm::MpiP2P::is_first;Application;59;67911;100818;1151.03389830508;1708.77966101695;
pfasst::comm::Communicator::get_root;Application;59;18476;18476;313.152542372881;313.152542372881;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::send_status;Application;13;53153;315098;4088.69230769231;24238.3076923077;
pfasst::comm::MpiP2P::isend_status;Application;10;68403;212353;6840.3;21235.3;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::cycle_down;Application;13;1317354951;1317433095;101334996.230769;101341007.307692;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::recv_coarse;Application;19;115944;93656609;6102.31578947368;4929295.21052632;
pfasst::TwoLevelMLSDC<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::sweep_coarse;coarse;19;817911008;817995855;43047947.7894737;43052413.4210526;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::cycle_up;Application;12;1268869494;2926468598;105739124.5;243872383.166667;
pfasst::TwoLevelPfasst<pfasst::contrib::SpectralTransfer<pfasst::transfer_traits<pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, pfasst::examples::heat2d::Heat2D<pfasst::sweeper_traits<pfasst::vector_encap_traits<double, double, 2ul>>, void>, 2>, void>, pfasst::comm::MpiP2P>::recv_fine;Application;12;120404;1657577792;10033.6666666667;138131482.666667;
pfasst::comm::MpiP2P::recv;Application;24;80153;1750642535;3339.70833333333;72943438.9583333;
pfasst::comm::MpiP2P::recv_status;Application;11;15491;1604847215.35259;1408.27272727273;145895201.39569;
pfasst::comm::MpiP2P::probe;Application;9;38922;108570;4324.66666666667;12063.3333333333;

___ 50 records ___

